completed_at,pair,interval,variant,family,candles_loaded,total_return_pct,rank_score,rank_grade,final_equity,trade_count,win_rate_pct,profit_factor,max_drawdown_pct,fees_paid,maker_fee_rate,taker_fee_rate,fee_gst_rate,maker_fee_effective_rate,taker_fee_effective_rate,entry_fee_type,exit_fee_type,leverage,risk_per_trade_pct,compound_risk_equity,stop_loss_pct,take_profit_pct,stop_slippage_pct,funding_fee_rate,funding_interval_hours,funding_paid,ambiguous_exit_count,gap_exit_count,trailing_stop_enabled,trailing_profile,trailing_stop_activation_pct,trailing_stop_distance_pct,atr_dynamic_exits_enabled,atr_period,atr_stop_multiple,atr_take_profit_multiple,atr_take_profit_mode,accepted_reports,rejected_reports,enter_long,enter_short,exit_long,exit_short,hold,error
2026-05-18T04:33:29.287926+05:30,B-SAHARA_USDT,5m,hybrid_meta,hybrid_meta,1000,-6.495292817909734452585085950,-14.33655869251939219773362878,reject,935.0470718209026554741491405,6,0,0E+26,6.513012699687726196118834262,4.103250287230278431004040377,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,12,994,6,0,6,0,994,
2026-05-18T04:33:47.099209+05:30,B-SAHARA_USDT,15m,hybrid_meta,hybrid_meta,1000,3.500496358290567917670954500,-0.914890469867298684722271649,B,1035.004963582905679176709545,31,41.93548387096774193548387097,1.185000705101577516152938973,6.668310590688817307759283276,10.66978274239207767654341924,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,62,969,31,0,31,0,969,
2026-05-18T04:34:05.405899+05:30,B-SAHARA_USDT,30m,hybrid_meta,hybrid_meta,1000,1.522032476736350514734777300,-3.687414878356627746323675625,watchlist,1015.220324767363505147347773,33,39.39393939393939393939393939,1.073062077223035773053534117,7.204457207631239845732416927,10.83431608760311030311577349,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,66,967,33,0,33,0,967,
2026-05-18T04:34:23.139248+05:30,B-SAHARA_USDT,1h,hybrid_meta,hybrid_meta,1000,11.77908856628746567837382880,11.58851118621298089901878120,A,1117.790885662874656783738288,34,50.0,1.665291190773166396248344637,4.176927809296654057481389499,10.57907389147071576980659147,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,68,966,34,0,34,0,966,
2026-05-18T04:34:41.330384+05:30,B-SAHARA_USDT,4h,hybrid_meta,hybrid_meta,1000,6.307465904830811318940779900,1.759271109897698039741149313,B,1063.074659048308113189407799,29,44.82758620689655172413793103,1.384083592368659959392509197,7.013089583736346558387719185,5.419210528530486773978397853,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,58,971,29,0,29,0,971,
2026-05-18T04:34:59.778049+05:30,B-STABLE_USDT,5m,hybrid_meta,hybrid_meta,1000,-3.605353752824210485168403110,-7.169530333982062075250359851,reject,963.9464624717578951483159689,6,16.66666666666666666666666667,0.3212578049362057581892735736,3.605353752824210485168403110,2.591289004576893525317443713,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,12,994,6,0,6,0,994,
2026-05-18T04:35:17.794430+05:30,B-STABLE_USDT,15m,hybrid_meta,hybrid_meta,1000,-4.727701498395913475477414520,-10.36207686669753245664912587,reject,952.7229850160408652452258548,17,29.41176470588235294117647059,0.6389067304002866805914951832,6.209751063281753873883761375,8.277279242064338069955957269,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,34,983,17,0,17,0,983,
2026-05-18T04:35:35.611457+05:30,B-STABLE_USDT,30m,hybrid_meta,hybrid_meta,1000,-6.036059038728970183449391840,-12.47254011220003763336954743,reject,939.6394096127102981655060816,16,25.00,0.5292682493725263556581224220,6.636014057772896128989120344,7.460897337007113272748570245,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,32,984,16,0,16,0,984,
2026-05-18T04:35:53.846557+05:30,B-STABLE_USDT,1h,hybrid_meta,hybrid_meta,1000,8.372688529376153495091925200,9.773910409612745406708576440,A,1083.726885293761534950919252,16,56.2500,2.148848043398239672045778697,2.957179365247909945979924923,4.212868566173557704666795768,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,32,984,16,0,16,0,984,
2026-05-18T04:36:07.129403+05:30,B-STABLE_USDT,4h,hybrid_meta,hybrid_meta,843,11.68611854895654190182373880,13.35276956219003273614122465,A,1116.861185489565419018237388,27,51.85185185185185185185185185,1.904670604270994460645654442,2.794152156246798469579058425,3.330747179038945374992005343,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,54,815,27,0,27,0,815,
2026-05-18T04:36:25.619256+05:30,B-CHIP_USDT,5m,hybrid_meta,hybrid_meta,1000,0,-999999,too_few_trades,1000,0,,,0,0,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,0,1000,0,0,0,0,1000,
2026-05-18T04:36:43.892229+05:30,B-CHIP_USDT,15m,hybrid_meta,hybrid_meta,1000,-0.4581734003059137161318754700,-1.145211476084024251923818984,reject,995.4182659969408628386812453,16,37.500,0.9570164846930698464351374475,2.720856836131400182929774727,7.217143051524818752138583699,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,32,984,16,0,16,0,984,
2026-05-18T04:37:02.085978+05:30,B-CHIP_USDT,30m,hybrid_meta,hybrid_meta,1000,-3.907902973044465783558303520,-8.954137509000701330845588189,reject,960.9209702695553421644169648,17,29.41176470588235294117647059,0.6884695790241034834538867905,5.818538955203554011356046600,5.337169681286492682559716241,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,34,983,17,0,17,0,983,
2026-05-18T04:37:08.851856+05:30,B-CHIP_USDT,1h,hybrid_meta,hybrid_meta,610,-1.971095212870828668512762670,-5.841498401209790713842425178,reject,980.2890478712917133148723733,10,30.0,0.7267002685632334204476743611,4.659042980372343108980008984,1.977774789789329815446888364,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,20,600,10,0,10,0,600,
2026-05-18T04:37:09.648474+05:30,B-CHIP_USDT,4h,hybrid_meta,hybrid_meta,153,-2.033128135837912130408690760,-6.036035456458904121880456334,too_few_trades,979.6687186416208786959130924,2,0,0E+26,3.282325856496793593177412459,0.2238724919538971177300494538,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,4,151,2,0,2,0,151,
2026-05-18T04:37:28.389686+05:30,B-KITE_USDT,5m,hybrid_meta,hybrid_meta,1000,-1.514006057728204109191564210,-4.006563455790263890092428118,reject,984.8599394227179589080843579,4,25.00,0.4363986872570186814555698265,2.852283818060877715049602849,3.297224092605240687761549085,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,8,996,4,0,4,0,996,
2026-05-18T04:37:46.388847+05:30,B-KITE_USDT,15m,hybrid_meta,hybrid_meta,1000,-5.617540770118208962999754010,-10.51808120514063073753542399,reject,943.8245922988179103700024599,26,30.76923076923076923076923077,0.7071955778927368016132126188,6.091945272646316302209676177,12.56860955961781307683363329,0.0002,0.0005,0.18,0.000236,0.000590,maker,taker,1,1,False,,,,0,8,0,0,0,False,off,0,0,False,14,1.5,3,fixed,52,974,26,0,26,0,974,
